publication_citation,publication_authors,publication_year,publication_title,publication_publisher,publication_doi,publication_with_reported_data,locality,country_continent,habitat_description,habitat_type,category,group,macrophyte_identification,dm_gm2,log_dm_gm2,dm_gm2_value,dm_gm2_conversion,dm_gm2_location,tp_stock_gm2,log_tp_stock_gm2,tp_stock_gm2_value,tp_stock_gm2_conversion,tp_stock_gm2_location,tn_stock_gm2,log_tn_stock_gm2,tn_stock_gm2_value,tn_stock_gm2_conversion,tn_stock_gm2_location
"Behrends et al., 1996","Behrends, L. L., Bailey, E., Bulls, M. J., Coonrod, H. S., & Sikora, F. J.",1996,Seasonal trends in growth and biomass accumulation of selected nutrients and meals in six species of emergent aquatic macrophytes,Tennessee Valley Authority,https://doi.org/10.2172/236254,NA,Alabama,United States of America,constructed treatment wetland,constructed_treatment_wetland,wetland,wetland,abovground Scirpus atrovirens,930,2.968,mean,none,table 1,0.91,-0.041,mean,% with g/m2 to calculate g/m2,table 3,5.45,0.736,mean,% with g/m2 to calculate g/m2,table 3
"Behrends et al., 1996","Behrends, L. L., Bailey, E., Bulls, M. J., Coonrod, H. S., & Sikora, F. J.",1996,Seasonal trends in growth and biomass accumulation of selected nutrients and meals in six species of emergent aquatic macrophytes,Tennessee Valley Authority,https://doi.org/10.2172/236254,NA,Alabama,United States of America,constructed treatment wetland,constructed_treatment_wetland,wetland,wetland,aboveground Typha spp.,630,2.799,mean,none,table 1,0.63,-0.201,mean,% with g/m2 to calculate g/m2,table 3,5.67,0.754,mean,% with g/m2 to calculate g/m2,table 3
"Behrends et al., 1996","Behrends, L. L., Bailey, E., Bulls, M. J., Coonrod, H. S., & Sikora, F. J.",1996,Seasonal trends in growth and biomass accumulation of selected nutrients and meals in six species of emergent aquatic macrophytes,Tennessee Valley Authority,https://doi.org/10.2172/236254,NA,Alabama,United States of America,constructed treatment wetland,constructed_treatment_wetland,wetland,wetland,abovground Scirpus atrovirens,705,2.848,mean,none,table 1,1.36,0.134,mean,% with g/m2 to calculate g/m2,table 3,9.77,0.99,mean,% with g/m2 to calculate g/m2,table 3
"Behrends et al., 1996","Behrends, L. L., Bailey, E., Bulls, M. J., Coonrod, H. S., & Sikora, F. J.",1996,Seasonal trends in growth and biomass accumulation of selected nutrients and meals in six species of emergent aquatic macrophytes,Tennessee Valley Authority,https://doi.org/10.2172/236254,NA,Alabama,United States of America,constructed treatment wetland,constructed_treatment_wetland,wetland,wetland,aboveground Phalaris arundinacea,756,2.879,mean,none,table 1,1.43,0.155,mean,% with g/m2 to calculate g/m2,table 2,10.89,1.037,mean,% with g/m2 to calculate g/m2,table 2
"Behrends et al., 1996","Behrends, L. L., Bailey, E., Bulls, M. J., Coonrod, H. S., & Sikora, F. J.",1996,Seasonal trends in growth and biomass accumulation of selected nutrients and meals in six species of emergent aquatic macrophytes,Tennessee Valley Authority,https://doi.org/10.2172/236254,NA,Alabama,United States of America,constructed treatment wetland,constructed_treatment_wetland,wetland,wetland,aboveground Typha spp.,482,2.683,mean,none,table 1,1.86,0.27,mean,% with g/m2 to calculate g/m2,table 3,13.02,1.115,mean,% with g/m2 to calculate g/m2,table 3
"Behrends et al., 1996","Behrends, L. L., Bailey, E., Bulls, M. J., Coonrod, H. S., & Sikora, F. J.",1996,Seasonal trends in growth and biomass accumulation of selected nutrients and meals in six species of emergent aquatic macrophytes,Tennessee Valley Authority,https://doi.org/10.2172/236254,NA,Alabama,United States of America,constructed treatment wetland,constructed_treatment_wetland,wetland,wetland,aboveground Phalaris arundinacea,831,2.92,mean,none,table 1,1.66,0.22,mean,% with g/m2 to calculate g/m2,table 2,13.3,1.124,mean,% with g/m2 to calculate g/m2,table 2
"Behrends et al., 1996","Behrends, L. L., Bailey, E., Bulls, M. J., Coonrod, H. S., & Sikora, F. J.",1996,Seasonal trends in growth and biomass accumulation of selected nutrients and meals in six species of emergent aquatic macrophytes,Tennessee Valley Authority,https://doi.org/10.2172/236254,NA,Alabama,United States of America,constructed treatment wetland,constructed_treatment_wetland,wetland,wetland,abovground Phragmites communis,1843,3.266,mean,none,table 1,2.97,0.473,mean,% with g/m2 to calculate g/m2,table 2,25.08,1.399,mean,% with g/m2 to calculate g/m2,table 2
"Behrends et al., 1996","Behrends, L. L., Bailey, E., Bulls, M. J., Coonrod, H. S., & Sikora, F. J.",1996,Seasonal trends in growth and biomass accumulation of selected nutrients and meals in six species of emergent aquatic macrophytes,Tennessee Valley Authority,https://doi.org/10.2172/236254,NA,Alabama,United States of America,constructed treatment wetland,constructed_treatment_wetland,wetland,wetland,aboveground Scirpus acutus,2442,3.388,mean,none,table 1,3.55,0.55,mean,% with g/m2 to calculate g/m2,table 2,25.08,1.399,mean,% with g/m2 to calculate g/m2,table 2
"Behrends et al., 1996","Behrends, L. L., Bailey, E., Bulls, M. J., Coonrod, H. S., & Sikora, F. J.",1996,Seasonal trends in growth and biomass accumulation of selected nutrients and meals in six species of emergent aquatic macrophytes,Tennessee Valley Authority,https://doi.org/10.2172/236254,NA,Alabama,United States of America,constructed treatment wetland,constructed_treatment_wetland,wetland,wetland,aboveground Scirpus acutus,2474,3.393,mean,none,table 1,4.44,0.647,mean,% with g/m2 to calculate g/m2,table 2,31.09,1.493,mean,% with g/m2 to calculate g/m2,table 2
"Behrends et al., 1996","Behrends, L. L., Bailey, E., Bulls, M. J., Coonrod, H. S., & Sikora, F. J.",1996,Seasonal trends in growth and biomass accumulation of selected nutrients and meals in six species of emergent aquatic macrophytes,Tennessee Valley Authority,https://doi.org/10.2172/236254,NA,Alabama,United States of America,constructed treatment wetland,constructed_treatment_wetland,wetland,wetland,aboveground Scirpus acutus,2490,3.396,mean,none,table 1,4.21,0.624,mean,% with g/m2 to calculate g/m2,table 2,31.16,1.494,mean,% with g/m2 to calculate g/m2,table 2
